a;b;c
[[-0.44081840883921986, -0.09311138497252042, 0.3651311525192056], [-2.724866924129488e-05, 0.9999999891641876, -0.00014138996706179554, 3.062697649932838e-05]];[[0.045073278294701875, -0.007050992564794651, 0.17062690567940886], [0.0024341314115742248, -0.006789088277323106, 0.7069977614418309, 0.7071790074661958]];[[425.19189453125, 0.0, 422.978515625], [0.0, 424.6562805175781, 242.1155242919922], [0.0, 0.0, 1.0]] 
[[-0.4410953856776633, -0.008385009311308936, 0.3509982808295541], [0.00037409371471340547, 0.9861732580770007, -0.16571700632311917, 0.00019728910092547437]];[[0.045073278294701875, -0.007050992564794651, 0.17062690567940886], [0.0024341314115742248, -0.006789088277323106, 0.7069977614418309, 0.7071790074661958]];[[425.19189453125, 0.0, 422.978515625], [0.0, 424.6562805175781, 242.1155242919922], [0.0, 0.0, 1.0]] 
[[-0.5261281382940709, 0.02771432300092829, 0.36550177084173696], [0.00015816752288924305, 0.9899560589609985, -8.865848702480212e-05, 0.14137527523975188]];[[0.045073278294701875, -0.007050992564794651, 0.17062690567940886], [0.0024341314115742248, -0.006789088277323106, 0.7069977614418309, 0.7071790074661958]];[[425.19189453125, 0.0, 422.978515625], [0.0, 424.6562805175781, 242.1155242919922], [0.0, 0.0, 1.0]] 
